Recipe_id,Cuisine
3574,Middle Eastern
3575,Middle Eastern
3576,Middle Eastern
3577,Middle Eastern
3578,Middle Eastern
3579,Middle Eastern
3580,Middle Eastern
3581,Middle Eastern
3582,Middle Eastern
3583,Middle Eastern
3584,Middle Eastern
3585,Middle Eastern
3586,Middle Eastern
3587,Middle Eastern
3588,Middle Eastern
3589,Middle Eastern
3590,Middle Eastern
3591,Middle Eastern
3592,Middle Eastern
3593,Middle Eastern
3594,Middle Eastern
3595,Middle Eastern
3596,Middle Eastern
3597,Middle Eastern
3598,Middle Eastern
3599,Middle Eastern
3600,Middle Eastern
3601,Middle Eastern
3602,Middle Eastern
3603,Middle Eastern
3604,Middle Eastern
3605,Middle Eastern
3606,Middle Eastern
3607,Middle Eastern
3608,Middle Eastern
3609,Middle Eastern
3610,Middle Eastern
3611,Middle Eastern
3612,Middle Eastern
3613,Middle Eastern
3614,Middle Eastern
3615,Middle Eastern
3616,Middle Eastern
3617,Middle Eastern
3618,Middle Eastern
3619,Middle Eastern
3620,Middle Eastern
3621,Middle Eastern
3622,Middle Eastern
3623,Middle Eastern
3624,Middle Eastern
3625,Middle Eastern
3626,Middle Eastern
3627,Middle Eastern
3628,Middle Eastern
3629,Middle Eastern
3630,Middle Eastern
3631,Middle Eastern
3632,Middle Eastern
3633,Middle Eastern
3634,Middle Eastern
3635,Middle Eastern
3636,Middle Eastern
3637,Middle Eastern
3638,Middle Eastern
3639,Middle Eastern
3640,Middle Eastern
3641,Middle Eastern
3642,Middle Eastern
3643,Middle Eastern
3644,Middle Eastern
3645,Middle Eastern
3646,Middle Eastern
3647,Middle Eastern
3648,Middle Eastern
3649,Middle Eastern
3650,Middle Eastern
3651,Middle Eastern
3652,Middle Eastern
3653,Middle Eastern
3654,Middle Eastern
3655,Middle Eastern
3656,Middle Eastern
3657,Middle Eastern
3658,Middle Eastern
3659,Middle Eastern
3660,Middle Eastern
3661,Middle Eastern
3662,Middle Eastern
3663,Middle Eastern
3664,Middle Eastern
3665,Middle Eastern
3666,Middle Eastern
3667,Middle Eastern
3668,Middle Eastern
3669,Middle Eastern
3670,Middle Eastern
3671,Middle Eastern
3672,Middle Eastern
3673,Middle Eastern
3674,Middle Eastern
3675,Middle Eastern
3676,Middle Eastern
3677,Middle Eastern
3678,Middle Eastern
3679,Middle Eastern
3680,Middle Eastern
3681,Middle Eastern
3682,Middle Eastern
3683,Middle Eastern
3684,Middle Eastern
3685,Middle Eastern
3686,Middle Eastern
3687,Middle Eastern
3688,Middle Eastern
3689,Middle Eastern
3690,Middle Eastern
3691,Middle Eastern
3692,Middle Eastern
3693,Middle Eastern
3694,Middle Eastern
3695,Middle Eastern
3696,Middle Eastern
3697,Indian Subcontinent
3698,Indian Subcontinent
3699,Indian Subcontinent
3700,Indian Subcontinent
3701,Indian Subcontinent
3702,Indian Subcontinent
3703,Indian Subcontinent
3704,Indian Subcontinent
3705,Indian Subcontinent
3706,Indian Subcontinent
3707,Indian Subcontinent
3708,Indian Subcontinent
3709,Indian Subcontinent
3710,Indian Subcontinent
3711,Indian Subcontinent
3712,Indian Subcontinent
3713,Southeast Asian
3714,Southeast Asian
3715,Southeast Asian
3716,Southeast Asian
3717,Southeast Asian
3718,Southeast Asian
3719,Southeast Asian
3720,Southeast Asian
3721,Southeast Asian
3722,Southeast Asian
3723,Southeast Asian
3724,Southeast Asian
3725,Southeast Asian
3726,Southeast Asian
3727,Southeast Asian
3728,Southeast Asian
3729,Southeast Asian
3730,Southeast Asian
3731,Southeast Asian
3732,Southeast Asian
3733,Southeast Asian
3734,Southeast Asian
3735,Southeast Asian
3736,Southeast Asian
3737,Southeast Asian
3738,Southeast Asian
3739,Southeast Asian
3740,Southeast Asian
3741,Southeast Asian
3742,Southeast Asian
3743,Southeast Asian
3744,Southeast Asian
3745,Southeast Asian
3746,Southeast Asian
3747,Southeast Asian
3748,Southeast Asian
3749,Southeast Asian
3750,Southeast Asian
3751,Southeast Asian
3752,Southeast Asian
3753,Southeast Asian
3754,Southeast Asian
3755,Southeast Asian
3756,Southeast Asian
3757,Southeast Asian
3758,Southeast Asian
3759,Southeast Asian
3760,Southeast Asian
3761,Southeast Asian
3762,Southeast Asian
3763,Southeast Asian
3764,Southeast Asian
3765,Southeast Asian
3766,Southeast Asian
3767,Southeast Asian
3768,Southeast Asian
3769,Southeast Asian
3770,Southeast Asian
3771,Southeast Asian
3772,Southeast Asian
3773,Southeast Asian
3774,Southeast Asian
3775,Southeast Asian
3776,Southeast Asian
3777,Southeast Asian
3778,Southeast Asian
3779,Middle Eastern
3780,Middle Eastern
3781,Middle Eastern
3782,Middle Eastern
3783,Middle Eastern
3784,Middle Eastern
3785,Middle Eastern
3786,Middle Eastern
3787,Middle Eastern
3788,Middle Eastern
3789,Middle Eastern
3790,Middle Eastern
3791,Middle Eastern
3792,Middle Eastern
3793,Middle Eastern
3794,Middle Eastern
3795,Middle Eastern
3796,Middle Eastern
3797,Middle Eastern
3798,Middle Eastern
3799,Middle Eastern
3800,Middle Eastern
3801,Middle Eastern
3802,Middle Eastern
3803,Middle Eastern
3804,Middle Eastern
3805,Middle Eastern
3806,Middle Eastern
3807,Middle Eastern
3808,Middle Eastern
3809,Middle Eastern
3810,Middle Eastern
3811,Middle Eastern
3812,Middle Eastern
3813,Middle Eastern
3814,Middle Eastern
3815,Middle Eastern
3816,Middle Eastern
3817,Middle Eastern
3818,Middle Eastern
3819,Middle Eastern
3820,Middle Eastern
3821,Middle Eastern
3822,Middle Eastern
3823,Middle Eastern
3824,Middle Eastern
3825,Middle Eastern
3826,Middle Eastern
3827,Middle Eastern
3828,Middle Eastern
3829,Middle Eastern
3830,Middle Eastern
3831,Middle Eastern
3832,Middle Eastern
3833,Middle Eastern
3834,Middle Eastern
3835,Middle Eastern
3836,Middle Eastern
3837,Middle Eastern
3838,Middle Eastern
3839,Middle Eastern
3840,Middle Eastern
3841,Middle Eastern
3842,Middle Eastern
3843,Middle Eastern
3844,Middle Eastern
3845,Middle Eastern
3846,Middle Eastern
3847,Middle Eastern
3848,Middle Eastern
3849,Middle Eastern
3850,Middle Eastern
3851,Middle Eastern
3852,Middle Eastern
3853,Middle Eastern
3854,Middle Eastern
3855,Middle Eastern
3856,Middle Eastern
3857,Middle Eastern
3858,Middle Eastern
3859,Middle Eastern
3860,Middle Eastern
3861,Middle Eastern
3862,Southeast Asian
3863,Southeast Asian
3864,Southeast Asian
3865,Southeast Asian
3866,Southeast Asian
3867,Southeast Asian
3868,Southeast Asian
3869,Southeast Asian
3870,Southeast Asian
3871,Southeast Asian
3872,Southeast Asian
3873,Southeast Asian
3874,Southeast Asian
3875,Southeast Asian
3876,Southeast Asian
3877,Southeast Asian
3878,Southeast Asian
3879,Southeast Asian
3880,Southeast Asian
3881,Southeast Asian
3882,Southeast Asian
3883,Southeast Asian
3884,Southeast Asian
3885,Southeast Asian
3886,Southeast Asian
3887,Southeast Asian
3888,Southeast Asian
3889,Southeast Asian
3890,Southeast Asian
3891,Southeast Asian
3892,Southeast Asian
3893,Southeast Asian
3894,Southeast Asian
3895,Southeast Asian
3896,Southeast Asian
3897,Southeast Asian
3898,Southeast Asian
3899,Southeast Asian
3900,Southeast Asian
3901,Southeast Asian
3902,Southeast Asian
3903,Southeast Asian
3904,Southeast Asian
3905,Southeast Asian
3906,Southeast Asian
3907,Southeast Asian
3908,Southeast Asian
3909,Southeast Asian
