Region,servings
Middle Eastern,3
Middle Eastern,6
Middle Eastern,10
Middle Eastern,6
Middle Eastern,6
Middle Eastern,10
Middle Eastern,4
Middle Eastern,4
Middle Eastern,4
Middle Eastern,6
Middle Eastern,4
Middle Eastern,6
Middle Eastern,6
Middle Eastern,4
Middle Eastern,4
Middle Eastern,4
Middle Eastern,7
Middle Eastern,6
Middle Eastern,8
Middle Eastern,2
Middle Eastern,6
Middle Eastern,6
Middle Eastern,4
Middle Eastern,20
Middle Eastern,6
Middle Eastern,9
Middle Eastern,4
Middle Eastern,8
Middle Eastern,6
Middle Eastern,10
Middle Eastern,20
Middle Eastern,64
Middle Eastern,8
Middle Eastern,8
Middle Eastern,1
Middle Eastern,6
Middle Eastern,4
Middle Eastern,8
Middle Eastern,24
Middle Eastern,4
Middle Eastern,7
Middle Eastern,48
Middle Eastern,6
Middle Eastern,12
Middle Eastern,2
Middle Eastern,12
Middle Eastern,16
Middle Eastern,8
Middle Eastern,8
Middle Eastern,5
Middle Eastern,12
Middle Eastern,8
Middle Eastern,8
Middle Eastern,24
Middle Eastern,6
Middle Eastern,32
Middle Eastern,2
Middle Eastern,8
Middle Eastern,36
Middle Eastern,12
Middle Eastern,4
Middle Eastern,5
Middle Eastern,4
Middle Eastern,6
Middle Eastern,20
Middle Eastern,6
Middle Eastern,30
Middle Eastern,6
Middle Eastern,10
Middle Eastern,8
Middle Eastern,6
Middle Eastern,6
Middle Eastern,24
Middle Eastern,6
Middle Eastern,24
Indian Subcontinent,4
Indian Subcontinent,4
Indian Subcontinent,2
Indian Subcontinent,6
Indian Subcontinent,18
Indian Subcontinent,4
Indian Subcontinent,12
Indian Subcontinent,4
Indian Subcontinent,6
Indian Subcontinent,4
Indian Subcontinent,8
Indian Subcontinent,8
Indian Subcontinent,6
Indian Subcontinent,6
Indian Subcontinent,4
Indian Subcontinent,4
Southeast Asian,4
Southeast Asian,4
Southeast Asian,12
Southeast Asian,6
Southeast Asian,1
Southeast Asian,4
Southeast Asian,4
Southeast Asian,4
Southeast Asian,4
Southeast Asian,4
Southeast Asian,4
Southeast Asian,6
Southeast Asian,20
Southeast Asian,8
Southeast Asian,4
Southeast Asian,4
Southeast Asian,16
Southeast Asian,8
Southeast Asian,12
Southeast Asian,16
Southeast Asian,4
Southeast Asian,6
Southeast Asian,6
Southeast Asian,4
Southeast Asian,6
Southeast Asian,1
Southeast Asian,4
Southeast Asian,4
Southeast Asian,2
Southeast Asian,4
Southeast Asian,12
Southeast Asian,8
Southeast Asian,6
Southeast Asian,4
Southeast Asian,1
Southeast Asian,4
Southeast Asian,4
Southeast Asian,6
Southeast Asian,2
Southeast Asian,6
Southeast Asian,4
Southeast Asian,6
Southeast Asian,2
Southeast Asian,10
Southeast Asian,4
Southeast Asian,4
Southeast Asian,2
Southeast Asian,6
Southeast Asian,5
Southeast Asian,2
Southeast Asian,4
Southeast Asian,6
Southeast Asian,4
Southeast Asian,8
Southeast Asian,6
Southeast Asian,8
Southeast Asian,3
Southeast Asian,4
Southeast Asian,4
Southeast Asian,6
Southeast Asian,4
Southeast Asian,3
Southeast Asian,6
Southeast Asian,6
Southeast Asian,2
Southeast Asian,6
Middle Eastern,8
Middle Eastern,6
Middle Eastern,8
Middle Eastern,5
Middle Eastern,4
Middle Eastern,5
Middle Eastern,24
Middle Eastern,8
Middle Eastern,18
Middle Eastern,36
Middle Eastern,3
Middle Eastern,6
Middle Eastern,4
Middle Eastern,12
Middle Eastern,25
Middle Eastern,8
Middle Eastern,6
Middle Eastern,11
Middle Eastern,2
Middle Eastern,6
Middle Eastern,8
Middle Eastern,12
Middle Eastern,4
Middle Eastern,6
Middle Eastern,1
Middle Eastern,50
Middle Eastern,8
Middle Eastern,8
Middle Eastern,10
Middle Eastern,8
Middle Eastern,60
Middle Eastern,6
Middle Eastern,4
Middle Eastern,5
Middle Eastern,4
Middle Eastern,12
Middle Eastern,16
Middle Eastern,8
Middle Eastern,6
Middle Eastern,4
Middle Eastern,15
Middle Eastern,8
Middle Eastern,40
Middle Eastern,6
Middle Eastern,32
Middle Eastern,4
Middle Eastern,18
Middle Eastern,32
Middle Eastern,4
Middle Eastern,16
Middle Eastern,4
Middle Eastern,2
Middle Eastern,32
Middle Eastern,106
Middle Eastern,80
Middle Eastern,7
Middle Eastern,8
Middle Eastern,8
Middle Eastern,6
Middle Eastern,12
Middle Eastern,4
Middle Eastern,6
Middle Eastern,8
Middle Eastern,6
Middle Eastern,16
Middle Eastern,6
Middle Eastern,12
Middle Eastern,6
Middle Eastern,8
Middle Eastern,8
Middle Eastern,4
Middle Eastern,4
Middle Eastern,6
Middle Eastern,4
Middle Eastern,8
Middle Eastern,12
Middle Eastern,8
Middle Eastern,15
Middle Eastern,8
Middle Eastern,6
Middle Eastern,6
Middle Eastern,32
Middle Eastern,6
Southeast Asian,8
Southeast Asian,6
Southeast Asian,12
Southeast Asian,12
Southeast Asian,6
Southeast Asian,12
Southeast Asian,12
Southeast Asian,10
Southeast Asian,18
Southeast Asian,10
Southeast Asian,5
Southeast Asian,20
Southeast Asian,10
Southeast Asian,12
Southeast Asian,10
Southeast Asian,18
Southeast Asian,10
Southeast Asian,12
Southeast Asian,16
Southeast Asian,4
Southeast Asian,60
Southeast Asian,10
Southeast Asian,18
Southeast Asian,6
Southeast Asian,10
Southeast Asian,6
Southeast Asian,6
Southeast Asian,6
Southeast Asian,6
Southeast Asian,8
Southeast Asian,5
Southeast Asian,10
Southeast Asian,4
Southeast Asian,4
Southeast Asian,6
Southeast Asian,4
Southeast Asian,6
Southeast Asian,6
Southeast Asian,6
Southeast Asian,6
Southeast Asian,10
Southeast Asian,4
Southeast Asian,4
Southeast Asian,5
Southeast Asian,5
Southeast Asian,4
Southeast Asian,4
Southeast Asian,8
Southeast Asian,24
Southeast Asian,10
Southeast Asian,50
Southeast Asian,20
Southeast Asian,16
Southeast Asian,24
Southeast Asian,6
Southeast Asian,10
Southeast Asian,15
Southeast Asian,20
Southeast Asian,24
Southeast Asian,75
Southeast Asian,10
Southeast Asian,20
Southeast Asian,32
Southeast Asian,20
Southeast Asian,12
Southeast Asian,25
Southeast Asian,12
Southeast Asian,10
Southeast Asian,2
Southeast Asian,10
Southeast Asian,4
Southeast Asian,2
Southeast Asian,10
Southeast Asian,21
Southeast Asian,20
Southeast Asian,15
Southeast Asian,8
Southeast Asian,24
Southeast Asian,10
Southeast Asian,6
Southeast Asian,6
Southeast Asian,4
Southeast Asian,6
Southeast Asian,12
Southeast Asian,6
Southeast Asian,6
Southeast Asian,5
Southeast Asian,4
Southeast Asian,4
Southeast Asian,6
Southeast Asian,6
Southeast Asian,8
Southeast Asian,5
Southeast Asian,4
Southeast Asian,8
Southeast Asian,5
Southeast Asian,10
Southeast Asian,5
Southeast Asian,4
Southeast Asian,6
Southeast Asian,6
Southeast Asian,6
Southeast Asian,4
Southeast Asian,2
Southeast Asian,40
Southeast Asian,6
Southeast Asian,5
Southeast Asian,4
Southeast Asian,8
Southeast Asian,4
Southeast Asian,6
Southeast Asian,6
Southeast Asian,10
Southeast Asian,10
Southeast Asian,6
Southeast Asian,12
Southeast Asian,8
Southeast Asian,5
Southeast Asian,4
Southeast Asian,6
Southeast Asian,4
Southeast Asian,4
Southeast Asian,4
Southeast Asian,4
Southeast Asian,6
Southeast Asian,8
Southeast Asian,8
Southeast Asian,4
Southeast Asian,24
Southeast Asian,4
Southeast Asian,12
Southeast Asian,11
Southeast Asian,4
Southeast Asian,4
Southeast Asian,4
Southeast Asian,10
Southeast Asian,10
Southeast Asian,8
Southeast Asian,6
Southeast Asian,4
Southeast Asian,4
Indian Subcontinent,6
Indian Subcontinent,3
Indian Subcontinent,4
Indian Subcontinent,8
Indian Subcontinent,4
Indian Subcontinent,1
Indian Subcontinent,2
Indian Subcontinent,4
Indian Subcontinent,4
Indian Subcontinent,3
Indian Subcontinent,4
Indian Subcontinent,2
Indian Subcontinent,4
Indian Subcontinent,6
Indian Subcontinent,6
Indian Subcontinent,4
Indian Subcontinent,12
Indian Subcontinent,8
Indian Subcontinent,8
Indian Subcontinent,12
Indian Subcontinent,4
Indian Subcontinent,6
Indian Subcontinent,8
Indian Subcontinent,6
Indian Subcontinent,6
Indian Subcontinent,6
Indian Subcontinent,4
Indian Subcontinent,8
Indian Subcontinent,4
Indian Subcontinent,5
Indian Subcontinent,6
Indian Subcontinent,6
Indian Subcontinent,6
Indian Subcontinent,6
